Anno,Regione,Occupati,Area Geografica,DescrAtecoLiv1,Settore,Numero Incidenti,Percentage,PercentageOccupati
2018,Liguria,601566,NordOvest,"Attivita' professionali, scientifiche e tecniche",Terziario,221.0,0.017492425225818505,0.03673744859250689
2018,Liguria,601566,NordOvest,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,1657.0,0.13115361357095592,0.27544774804427113
2018,Liguria,601566,NordOvest,Costruzioni,Secondario,1600.0,0.12664199258511133,0.26597247849778743
2018,Liguria,601566,NordOvest,Estrazione di minerali da cave e miniere,Primario,8.0,0.0006332099629255567,0.0013298623924889372
2018,Liguria,601566,NordOvest,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,505.0,0.03997137890967577,0.08394756352586416
2018,Liguria,601566,NordOvest,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Secondario,36.0,0.002849444833165005,0.005984380766200217
2018,Liguria,601566,NordOvest,Istruzione,Terziario,167.0,0.013218257976070995,0.027760877443206565
2018,Liguria,601566,NordOvest,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,1095.0,0.08667061367543558,0.18202491497192327
2018,Liguria,601566,NordOvest,Non determinato,Terziario,6609.0,0.5231105806218754,1.0986325689949232
2018,Liguria,601566,NordOvest,Organizzazioni ed organismi extraterritoriali,Terziario,1.0,7.915124536569459e-05,0.00016623279906111715
2018,Liguria,601566,NordOvest,Sanita' e assistenza sociale,Terziario,2214.0,0.1752408572396478,0.36803941712131333
2018,Liguria,601566,NordOvest,Servizi di informazione e comunicazione,Terziario,135.0,0.010685418124368769,0.022441427873250815
2018,Liguria,601566,NordOvest,Trasporto e magazzinaggio,Terziario,1957.0,0.15489898718066428,0.3253175877626063
2018,Lombardia,4393446,NordOvest,"Agricoltura, silvicoltura e pesca",Primario,142.0,0.011239476841928631,0.003232087067873373
2018,Lombardia,4393446,NordOvest,Altre attivita' di servizi,Terziario,1177.0,0.09316101579542252,0.02678990478089409
2018,Lombardia,4393446,NordOvest,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,1722.0,0.1362984445197261,0.039194745992098226
2018,Lombardia,4393446,NordOvest,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Terziario,594.0,0.047015839747222586,0.013520138861385799
2018,Lombardia,4393446,NordOvest,Attivita' dei servizi di alloggio e di ristorazione,Terziario,5400.0,0.4274167249747507,0.12291035328532546
2018,Lombardia,4393446,NordOvest,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Terziario,15.0,0.0011872686804854187,0.0003414176480147929
2018,Lombardia,4393446,NordOvest,Attivita' finanziarie e assicurative,Terziario,1238.0,0.09798924176272988,0.028178336549487575
2018,Lombardia,4393446,NordOvest,Attivita' immobiliari,Terziario,530.0,0.04195016004381813,0.012063423563189351
2018,Lombardia,4393446,NordOvest,Attivita' manifatturiere,Secondario,23964.0,1.8967804439435048,0.5454488344684332
2018,Lombardia,4393446,NordOvest,"Attivita' professionali, scientifiche e tecniche",Terziario,1669.0,0.13210342851534426,0.037988403635779294
2018,Lombardia,4393446,NordOvest,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,9605.0,0.7602477117374965,0.21862110061213907
2018,Lombardia,4393446,NordOvest,Costruzioni,Secondario,6604.0,0.522714824395047,0.15031480983264617
2018,Lombardia,4393446,NordOvest,Estrazione di minerali da cave e miniere,Primario,84.0,0.006648704610718345,0.0019119388288828406
2018,Lombardia,4393446,NordOvest,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,1829.0,0.14476762777385538,0.04163019188127042
2018,Lombardia,4393446,NordOvest,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Secondario,221.0,0.017492425225818505,0.005030220014084616
2018,Lombardia,4393446,NordOvest,Istruzione,Terziario,1992.0,0.15766928076846362,0.0453402636563645
2018,Lombardia,4393446,NordOvest,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,6392.0,0.5059347603775198,0.14548944040737044
2018,Lombardia,4393446,NordOvest,Non determinato,Terziario,37726.0,2.986059882666194,0.8586881459337385
2018,Lombardia,4393446,NordOvest,Organizzazioni ed organismi extraterritoriali,Terziario,3.0,0.00023745373609708378,6.828352960295858e-05
2018,Lombardia,4393446,NordOvest,Sanita' e assistenza sociale,Terziario,8769.0,0.6940772706117758,0.19959275702944793
2018,Lombardia,4393446,NordOvest,Servizi di informazione e comunicazione,Terziario,1324.0,0.10479624886417963,0.030135797731439058
2018,Lombardia,4393446,NordOvest,Trasporto e magazzinaggio,Terziario,9166.0,0.7255003150219566,0.2086289441135728
2018,Marche,632187,Centro,"Agricoltura, silvicoltura e pesca",Primario,60.0,0.004749074721941675,0.009490862671962568
2018,Marche,632187,Centro,Altre attivita' di servizi,Terziario,224.0,0.017729878961915586,0.03543255397532692
2018,Marche,632187,Centro,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,370.0,0.029285960785307,0.0585269864771025
2018,Marche,632187,Centro,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Terziario,126.0,0.009973056916077517,0.019930811611121393
2018,Marche,632187,Centro,Attivita' dei servizi di alloggio e di ristorazione,Terziario,661.0,0.05231897318672411,0.10455767043612096
2018,Marche,632187,Centro,Attivita' finanziarie e assicurative,Terziario,94.0,0.0074402170643752905,0.014869018186074692
2018,Marche,632187,Centro,Attivita' immobiliari,Terziario,34.0,0.002691142342433616,0.005378155514112122
2018,Marche,632187,Centro,Attivita' manifatturiere,Secondario,3885.0,0.30750258824572346,0.6145333580095762
2018,Marche,632187,Centro,"Attivita' professionali, scientifiche e tecniche",Terziario,112.0,0.008864939480957793,0.01771627698766346
2018,Marche,632187,Centro,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,1363.0,0.10788314743344171,0.215600763698083
2018,Marche,632187,Centro,Costruzioni,Secondario,1316.0,0.10416303890125407,0.20816625460504568
2018,Marche,632187,Centro,Estrazione di minerali da cave e miniere,Primario,7.0,0.0005540587175598621,0.0011072673117289663
2018,Marche,632187,Centro,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,400.0,0.03166049814627783,0.06327241781308379
2018,Marche,632187,Centro,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Secondario,19.0,0.0015038736619481972,0.00300543984612148
2018,Marche,632187,Centro,Istruzione,Terziario,44.0,0.0034826547960905615,0.006959965959439216
2018,Marche,632187,Centro,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,623.0,0.04931122586282773,0.098546790743878
2018,Marche,632187,Centro,Non determinato,Terziario,6908.0,0.5467768029862182,1.0927146556319571
2018,Marche,632187,Centro,Sanita' e assistenza sociale,Terziario,1485.0,0.11753959936805645,0.23489885113107356
2018,Marche,632187,Centro,Servizi di informazione e comunicazione,Terziario,94.0,0.0074402170643752905,0.014869018186074692
2018,Marche,632187,Centro,Trasporto e magazzinaggio,Terziario,895.0,0.07084036460229665,0.141572034856775
2018,Molise,105958,Sud,"Agricoltura, silvicoltura e pesca",Primario,6.0,0.00047490747219416755,0.005662621038524699
2018,Molise,105958,Sud,Altre attivita' di servizi,Terziario,22.0,0.0017413273980452807,0.020762943807923897
