Anno,DescrAtecoLiv1,Area Geografica,Occupati,Numero morti,Percentage,PercentageOccupati
2019,Trasporto e magazzinaggio,NordEst,5188001,38,1.5625,0.6534663113172636
2019,Trasporto e magazzinaggio,NordOvest,6865303,38,1.5625,0.8647346497206425
2019,Trasporto e magazzinaggio,Sud,5402013,26,1.069078947368421,0.680422673164077
2019,Trasporto e magazzinaggio,Total,23109405,127,5.222039473684211,2.9107969798168365
2020,"Agricoltura, silvicoltura e pesca",Centro,2504648,3,0.08880994671403197,0.3267347766343063
2020,"Agricoltura, silvicoltura e pesca",NordEst,2958629,3,0.08880994671403197,0.3859572225154117
2020,"Agricoltura, silvicoltura e pesca",NordOvest,6063305,3,0.08880994671403197,0.7909664770621151
2020,"Agricoltura, silvicoltura e pesca",Sud,1569819,1,0.029603315571343988,0.20478504776770629
2020,"Agricoltura, silvicoltura e pesca",Total,22385258,10,0.2960331557134399,2.920187696048034
2020,Altre attivita' di servizi,Centro,2870602,2,0.059206631142687975,0.37447397928810466
2020,Altre attivita' di servizi,NordEst,4527840,6,0.17761989342806395,0.5906629558468405
2020,Altre attivita' di servizi,NordOvest,6063305,9,0.2664298401420959,0.7909664770621151
2020,Altre attivita' di servizi,Sud,5052430,9,0.2664298401420959,0.6590964428975521
2020,Altre attivita' di servizi,Total,22385258,26,0.7696862048549438,2.920187696048034
2020,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Centro,4763433,11,0.3256364712847839,0.6213963867447575
2020,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",NordEst,4527840,3,0.08880994671403197,0.5906629558468405
2020,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",NordOvest,6642822,24,0.7104795737122558,0.8665652668125243
2020,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Sud,5052430,34,1.0065127294256957,0.6590964428975521
2020,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Total,22385258,72,2.1314387211367674,2.920187696048034
2020,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Centro,1544467,1,0.029603315571343988,0.20147784449713377
2020,"Attivita' artistiche, sportive, di intrattenimento e divertimento",NordEst,1966238,1,0.029603315571343988,0.2564984515747862
2020,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Sud,1305304,1,0.029603315571343988,0.1702787021888371
2020,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Total,22385258,3,0.08880994671403197,2.920187696048034
2020,Attivita' dei servizi di alloggio e di ristorazione,Centro,4415069,11,0.3256364712847839,0.5759518237852385
2020,Attivita' dei servizi di alloggio e di ristorazione,NordEst,5034056,14,0.4144464179988159,0.6566995293249148
2020,Attivita' dei servizi di alloggio e di ristorazione,NordOvest,6695925,24,0.7104795737122558,0.8734926262033895
2020,Attivita' dei servizi di alloggio e di ristorazione,Sud,4538596,11,0.3256364712847839,0.5920660908412503
2020,Attivita' dei servizi di alloggio e di ristorazione,Total,22385258,60,1.7761989342806392,2.920187696048034
2020,Attivita' finanziarie e assicurative,Centro,2870602,6,0.17761989342806395,0.37447397928810466
2020,Attivita' finanziarie e assicurative,NordEst,2472454,2,0.059206631142687975,0.3225350250528605
2020,Attivita' finanziarie e assicurative,NordOvest,4894654,7,0.20722320899940794,0.6385143466835315
2020,Attivita' finanziarie e assicurative,Sud,4063235,6,0.17761989342806395,0.5300545945528854
2020,Attivita' finanziarie e assicurative,Total,22385258,21,0.6216696269982238,2.920187696048034
2020,Attivita' immobiliari,Centro,2258785,2,0.059206631142687975,0.2946616101104512
2020,Attivita' immobiliari,NordEst,2075427,1,0.029603315571343988,0.2707423068095031
2020,Attivita' immobiliari,NordOvest,4894654,2,0.059206631142687975,0.6385143466835315
2020,Attivita' immobiliari,Sud,103979,1,0.029603315571343988,0.013564203568588692
2020,Attivita' immobiliari,Total,22385258,6,0.17761989342806395,2.920187696048034
2020,Attivita' manifatturiere,Centro,4763433,40,1.1841326228537596,0.6213963867447575
2020,Attivita' manifatturiere,NordEst,5034056,69,2.0426287744227354,0.6566995293249148
2020,Attivita' manifatturiere,NordOvest,6695925,76,2.2498519834221433,0.8734926262033895
2020,Attivita' manifatturiere,Sud,5340104,62,1.8354055654233272,0.6966239118806177
