Anno,Regione,Occupati,Area Geografica,Settore,Count,Percentage,PercentageOccupati
2023,Campania,1683953,Sud,Terziario,24,82.75862068965517,0.001425217924728303
2023,Emilia Romagna,2023150,NordEst,Secondario,7,29.166666666666668,0.0003459951066406346
2023,Emilia Romagna,2023150,NordEst,Terziario,17,70.83333333333334,0.0008402738304129699
2023,Friuli Venezia Giulia,0,NordEst,Secondario,2,20.0,inf
2023,Friuli Venezia Giulia,0,NordEst,Terziario,8,80.0,inf
2023,Friuli-Venezia Giulia,519916,,,0,0.0,0.0
2023,Lazio,2375406,Centro,Secondario,9,25.71428571428571,0.0003788825994377382
2023,Lazio,2375406,Centro,Terziario,26,74.28571428571429,0.0010945497317090215
2023,Liguria,633017,NordOvest,Secondario,1,10.0,0.00015797364051834312
2023,Liguria,633017,NordOvest,Terziario,9,90.0,0.001421762764665088
2023,Lombardia,4500716,NordOvest,Primario,1,1.3888888888888888,2.2218686982249045e-05
2023,Lombardia,4500716,NordOvest,Secondario,20,27.77777777777778,0.0004443737396449809
2023,Lombardia,4500716,NordOvest,Terziario,51,70.83333333333334,0.0011331530360947015
2023,Marche,641107,Centro,Secondario,4,44.44444444444444,0.0006239208119705447
2023,Marche,641107,Centro,Terziario,5,55.55555555555556,0.0007799010149631809
2023,Molise,106313,,,0,0.0,0.0
2023,Piemonte,1800861,NordOvest,Secondario,6,24.0,0.0003331739651200176
2023,Piemonte,1800861,NordOvest,Terziario,19,76.0,0.0010550508895467224
2023,Puglia,1292646,Sud,Secondario,6,26.08695652173913,0.0004641642027283572
2023,Puglia,1292646,Sud,Terziario,17,73.91304347826086,0.0013151319077303453
2023,Sardegna,576709,,,0,0.0,0.0
2023,Sicilia,1410776,Sud,Secondario,10,41.66666666666667,0.0007088297504352215
2023,Sicilia,1410776,Sud,Terziario,14,58.333333333333336,0.0009923616506093101
2023,Toscana,1628035,Centro,Secondario,2,10.526315789473683,0.00012284748178018284
2023,Toscana,1628035,Centro,Terziario,17,89.47368421052632,0.0010442035951315543
2023,Total,0,Total,Primario,8,1.257861635220126,inf
2023,Total,0,Total,Secondario,160,25.157232704402517,inf
2023,Total,0,Total,Terziario,468,73.58490566037736,inf
2023,Trentino Alto Adige,507708,NordEst,Primario,1,10.0,0.00019696360900360048
2023,Trentino Alto Adige,507708,NordEst,Secondario,3,30.0,0.0005908908270108015
2023,Trentino Alto Adige,507708,NordEst,Terziario,6,60.0,0.001181781654021603
2023,Umbria,361596,Centro,Primario,1,9.090909090909092,0.00027655173176694434
2023,Umbria,361596,Centro,Secondario,3,27.27272727272727,0.000829655195300833
2023,Umbria,361596,Centro,Terziario,7,63.63636363636363,0.0019358621223686103
2023,Valle D'Aosta,56813,NordOvest,Terziario,1,100.0,0.0017601605266400295
2023,Veneto,2225751,,,0,0.0,0.0
2024,Abruzzo,0,Sud,Secondario,4,57.14285714285714,inf
2024,Abruzzo,0,Sud,Terziario,3,42.857142857142854,inf
2024,Basilicata,0,Sud,Primario,1,25.0,inf
2024,Basilicata,0,Sud,Secondario,3,75.0,inf
2024,Calabria,0,Sud,Secondario,2,22.22222222222222,inf
2024,Calabria,0,Sud,Terziario,7,77.77777777777779,inf
2024,Campania,0,Sud,Secondario,9,25.0,inf
2024,Campania,0,Sud,Terziario,27,75.0,inf
2024,Emilia Romagna,0,NordEst,Secondario,13,33.33333333333333,inf
2024,Emilia Romagna,0,NordEst,Terziario,26,66.66666666666666,inf
2024,Friuli Venezia Giulia,0,NordEst,Primario,2,33.33333333333333,inf
2024,Friuli Venezia Giulia,0,NordEst,Secondario,2,33.33333333333333,inf
2024,Friuli Venezia Giulia,0,NordEst,Terziario,2,33.33333333333333,inf
2024,Lazio,0,Centro,Secondario,6,18.75,inf
2024,Lazio,0,Centro,Terziario,26,81.25,inf
2024,Liguria,0,NordOvest,Secondario,1,12.5,inf
2024,Liguria,0,NordOvest,Terziario,7,87.5,inf
2024,Lombardia,0,NordOvest,Secondario,30,42.25352112676056,inf
2024,Lombardia,0,NordOvest,Terziario,41,57.74647887323944,inf
2024,Marche,0,Centro,Secondario,3,60.0,inf
2024,Marche,0,Centro,Terziario,2,40.0,inf
2024,Molise,0,Sud,Terziario,1,100.0,inf
2024,Piemonte,0,NordOvest,Secondario,8,32.0,inf
2024,Piemonte,0,NordOvest,Terziario,17,68.0,inf
2024,Puglia,0,Sud,Secondario,10,38.46153846153847,inf
2024,Puglia,0,Sud,Terziario,16,61.53846153846154,inf
2024,Sicilia,0,Sud,Secondario,12,41.37931034482759,inf
2024,Sicilia,0,Sud,Terziario,17,58.620689655172406,inf
2024,Toscana,0,Centro,Secondario,7,33.33333333333333,inf
2024,Toscana,0,Centro,Terziario,14,66.66666666666666,inf
2024,Total,0,Total,Primario,8,1.1695906432748537,inf
2024,Total,0,Total,Secondario,240,35.08771929824561,inf
2024,Total,0,Total,Terziario,436,63.74269005847953,inf
2024,Trentino Alto Adige,0,NordEst,Secondario,8,57.14285714285714,inf
2024,Trentino Alto Adige,0,NordEst,Terziario,6,42.857142857142854,inf
2024,Umbria,0,Centro,Primario,1,14.285714285714285,inf
2024,Umbria,0,Centro,Secondario,1,14.285714285714285,inf
2024,Umbria,0,Centro,Terziario,5,71.42857142857143,inf
2024,Valle D'Aosta,0,NordOvest,Secondario,1,50.0,inf
2024,Valle D'Aosta,0,NordOvest,Terziario,1,50.0,inf
