Anno,Regione,Occupati,Area Geografica,DescrAtecoLiv1,Settore,Count,Percentage,PercentageOccupati
2019,Basilicata,187581,Sud,Attivita' manifatturiere,Secondario,2,0.08223684210526315,0.0010662060656463075
2019,Basilicata,187581,Sud,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,1,0.041118421052631575,0.0005331030328231537
2019,Basilicata,187581,Sud,Costruzioni,Secondario,5,0.20559210526315788,0.002665515164115769
2019,Basilicata,187581,Sud,Non determinato,Terziario,12,0.4934210526315789,0.006397236393877845
2019,Basilicata,187581,Sud,Trasporto e magazzinaggio,Terziario,1,0.041118421052631575,0.0005331030328231537
2019,Calabria,538640,Sud,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,4,0.1644736842105263,0.000742611020347542
2019,Calabria,538640,Sud,Attivita' dei servizi di alloggio e di ristorazione,Terziario,2,0.08223684210526315,0.000371305510173771
2019,Calabria,538640,Sud,Attivita' manifatturiere,Secondario,4,0.1644736842105263,0.000742611020347542
2019,Calabria,538640,Sud,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,3,0.12335526315789473,0.0005569582652606565
2019,Calabria,538640,Sud,Costruzioni,Secondario,5,0.20559210526315788,0.0009282637754344274
2019,Calabria,538640,Sud,Non determinato,Terziario,18,0.7401315789473684,0.0033417495915639387
2019,Calabria,538640,Sud,Sanita' e assistenza sociale,Terziario,1,0.041118421052631575,0.0001856527550868855
2019,Calabria,538640,Sud,Trasporto e magazzinaggio,Terziario,1,0.041118421052631575,0.0001856527550868855
2019,Campania,1625581,Sud,"Agricoltura, silvicoltura e pesca",Primario,2,0.08223684210526315,0.00012303293407095678
2019,Campania,1625581,Sud,Altre attivita' di servizi,Terziario,1,0.041118421052631575,6.151646703547839e-05
2019,Campania,1625581,Sud,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,1,0.041118421052631575,6.151646703547839e-05
2019,Campania,1625581,Sud,Attivita' dei servizi di alloggio e di ristorazione,Terziario,5,0.20559210526315788,0.00030758233517739196
2019,Campania,1625581,Sud,Attivita' finanziarie e assicurative,Terziario,2,0.08223684210526315,0.00012303293407095678
2019,Campania,1625581,Sud,Attivita' manifatturiere,Secondario,11,0.4523026315789474,0.0006766811373902623
2019,Campania,1625581,Sud,"Attivita' professionali, scientifiche e tecniche",Terziario,3,0.12335526315789473,0.00018454940110643517
2019,Campania,1625581,Sud,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,6,0.24671052631578946,0.00036909880221287035
2019,Campania,1625581,Sud,Costruzioni,Secondario,20,0.8223684210526315,0.0012303293407095678
2019,Campania,1625581,Sud,Estrazione di minerali da cave e miniere,Primario,1,0.041118421052631575,6.151646703547839e-05
2019,Campania,1625581,Sud,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,10,0.41118421052631576,0.0006151646703547839
2019,Campania,1625581,Sud,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,2,0.08223684210526315,0.00012303293407095678
2019,Campania,1625581,Sud,Non determinato,Terziario,21,0.8634868421052633,0.0012918458077450462
2019,Campania,1625581,Sud,Sanita' e assistenza sociale,Terziario,2,0.08223684210526315,0.00012303293407095678
2019,Campania,1625581,Sud,Servizi di informazione e comunicazione,Terziario,2,0.08223684210526315,0.00012303293407095678
2019,Campania,1625581,Sud,Trasporto e magazzinaggio,Terziario,8,0.3289473684210526,0.0004921317362838271
2019,Emilia Romagna,2026012,NordEst,Altre attivita' di servizi,Terziario,1,0.041118421052631575,4.9358049211949387e-05
2019,Emilia Romagna,2026012,NordEst,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Terziario,1,0.041118421052631575,4.9358049211949387e-05
2019,Emilia Romagna,2026012,NordEst,Attivita' dei servizi di alloggio e di ristorazione,Terziario,4,0.1644736842105263,0.00019743219684779755
2019,Emilia Romagna,2026012,NordEst,Attivita' immobiliari,Terziario,1,0.041118421052631575,4.9358049211949387e-05
2019,Emilia Romagna,2026012,NordEst,Attivita' manifatturiere,Secondario,26,1.069078947368421,0.001283309279510684
2019,Emilia Romagna,2026012,NordEst,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,11,0.4523026315789474,0.0005429385413314433
2019,Emilia Romagna,2026012,NordEst,Costruzioni,Secondario,16,0.6578947368421052,0.0007897287873911902
2019,Emilia Romagna,2026012,NordEst,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,2,0.08223684210526315,9.871609842389877e-05
2019,Emilia Romagna,2026012,NordEst,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,5,0.20559210526315788,0.00024679024605974695
2019,Emilia Romagna,2026012,NordEst,Non determinato,Terziario,25,1.0279605263157896,0.0012339512302987346
2019,Emilia Romagna,2026012,NordEst,Sanita' e assistenza sociale,Terziario,1,0.041118421052631575,4.9358049211949387e-05
2019,Emilia Romagna,2026012,NordEst,Servizi di informazione e comunicazione,Terziario,1,0.041118421052631575,4.9358049211949387e-05
2019,Emilia Romagna,2026012,NordEst,Trasporto e magazzinaggio,Terziario,21,0.8634868421052633,0.0010365190334509372
2019,Friuli Venezia Giulia,,NordEst,Altre attivita' di servizi,Terziario,1,0.041118421052631575,0.0
2019,Friuli Venezia Giulia,,NordEst,Attivita' manifatturiere,Secondario,8,0.3289473684210526,0.0
2019,Friuli Venezia Giulia,,NordEst,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,1,0.041118421052631575,0.0
2019,Friuli Venezia Giulia,,NordEst,Costruzioni,Secondario,2,0.08223684210526315,0.0
2019,Friuli Venezia Giulia,,NordEst,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,2,0.08223684210526315,0.0
2019,Friuli Venezia Giulia,,NordEst,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Secondario,1,0.041118421052631575,0.0
2019,Friuli Venezia Giulia,,NordEst,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,1,0.041118421052631575,0.0
2019,Friuli Venezia Giulia,,NordEst,Non determinato,Terziario,3,0.12335526315789473,0.0
2019,Friuli Venezia Giulia,,NordEst,Trasporto e magazzinaggio,Terziario,2,0.08223684210526315,0.0
2019,Friuli-Venezia Giulia,508166,,,,0,0.0,0.0
2019,Lazio,2333459,Centro,Altre attivita' di servizi,Terziario,2,0.08223684210526315,8.570966963636387e-05
2019,Lazio,2333459,Centro,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,1,0.041118421052631575,4.2854834818181936e-05
2019,Lazio,2333459,Centro,Attivita' dei servizi di alloggio e di ristorazione,Terziario,4,0.1644736842105263,0.00017141933927272774
2019,Lazio,2333459,Centro,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Terziario,1,0.041118421052631575,4.2854834818181936e-05
2019,Lazio,2333459,Centro,Attivita' finanziarie e assicurative,Terziario,2,0.08223684210526315,8.570966963636387e-05
2019,Lazio,2333459,Centro,Attivita' immobiliari,Terziario,4,0.1644736842105263,0.00017141933927272774
2019,Lazio,2333459,Centro,Attivita' manifatturiere,Secondario,10,0.41118421052631576,0.00042854834818181937
2019,Lazio,2333459,Centro,"Attivita' professionali, scientifiche e tecniche",Terziario,1,0.041118421052631575,4.2854834818181936e-05
2019,Lazio,2333459,Centro,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,11,0.4523026315789474,0.00047140318300000123
2019,Lazio,2333459,Centro,Costruzioni,Secondario,17,0.6990131578947368,0.0007285321919090929
2019,Lazio,2333459,Centro,Estrazione di minerali da cave e miniere,Primario,1,0.041118421052631575,4.2854834818181936e-05
2019,Lazio,2333459,Centro,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,2,0.08223684210526315,8.570966963636387e-05
2019,Lazio,2333459,Centro,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Secondario,1,0.041118421052631575,4.2854834818181936e-05
2019,Lazio,2333459,Centro,Istruzione,Terziario,2,0.08223684210526315,8.570966963636387e-05
2019,Lazio,2333459,Centro,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,9,0.3700657894736842,0.0003856935133636374
2019,Lazio,2333459,Centro,Non determinato,Terziario,21,0.8634868421052633,0.0008999515311818207
2019,Lazio,2333459,Centro,Sanita' e assistenza sociale,Terziario,5,0.20559210526315788,0.00021427417409090969
