Year,DescrRegione,Genere,Occupati,MacroRegione,Count,Percentage,PercentageOccupati,SummarisedCount
2023,Toscana,M,899937,Centro,11957,0.02479131505724581,0.013286485609548225,Moderate (10001-50000)
2023,Total,F,9988556,Total,87715,0.1818658693858256,0.008781549605368383,High (50001-100000)
2023,Total,M,13591391,Total,153438,0.3181341306141744,0.011289352208320691,Very High (100001-200000)
2023,Trentino Alto Adige,F,231241,NordEst,2952,0.006120595638453595,0.012765902240519631,Low (1001-10000)
2023,Trentino Alto Adige,M,276467,NordEst,6118,0.012684892993244951,0.022129223379282158,Low (1001-10000)
2023,Umbria,F,160107,Centro,1544,0.003201287149651881,0.009643550875352108,Low (1001-10000)
2023,Umbria,M,201489,Centro,2768,0.005739095097303372,0.013737722654834755,Low (1001-10000)
2023,Valle D'Aosta,F,26767,NordOvest,221,0.000458215323881519,0.00825643516270034,Very low (1-1000)
2023,Valle D'Aosta,M,30046,NordOvest,357,0.0007401939847316839,0.011881781268721294,Very low (1-1000)
2023,Veneto,F,973871,NordEst,10105,0.02095142917566856,0.010376117576147148,Moderate (10001-50000)
2023,Veneto,M,1251880,NordEst,19444,0.040314655011548683,0.015531840112470845,Moderate (10001-50000)
2024,Abruzzo,F,0,Sud,1726,0.003503202812304645,0.0,Low (1001-10000)
2024,Abruzzo,M,0,Sud,3016,0.006121471426367792,0.0,Low (1001-10000)
2024,Basilicata,F,0,Sud,605,0.001227947683339693,0.0,Very low (1-1000)
2024,Basilicata,M,0,Sud,1052,0.002135208203096457,0.0,Low (1001-10000)
2024,Calabria,F,0,Sud,1314,0.002666980588278275,0.0,Low (1001-10000)
2024,Calabria,M,0,Sud,2364,0.004798129460190139,0.0,Low (1001-10000)
2024,Campania,F,0,Sud,2904,0.005894148880030526,0.0,Low (1001-10000)
2024,Campania,M,0,Sud,5922,0.012019679637582912,0.0,Low (1001-10000)
2024,Emilia Romagna,F,0,NordEst,11712,0.023771443416982615,0.0,Moderate (10001-50000)
2024,Emilia Romagna,M,0,NordEst,20457,0.04152086902162,0.0,Moderate (10001-50000)
2024,Friuli Venezia Giulia,F,0,NordEst,2563,0.005202032913057245,0.0,Low (1001-10000)
2024,Friuli Venezia Giulia,M,0,NordEst,4091,0.00830336193808708,0.0,Low (1001-10000)
2024,Lazio,F,0,Centro,6914,0.014033107905141548,0.0,Low (1001-10000)
2024,Lazio,M,0,Centro,10363,0.021033424532973948,0.0,Moderate (10001-50000)
2024,Liguria,F,0,NordOvest,3050,0.00619048005650589,0.0,Low (1001-10000)
2024,Liguria,M,0,NordOvest,4911,0.009967687723770631,0.0,Low (1001-10000)
2024,Lombardia,F,0,NordOvest,17766,0.03605903891274873,0.0,Moderate (10001-50000)
2024,Lombardia,M,0,NordOvest,30694,0.06229855568996452,0.0,Moderate (10001-50000)
2024,Marche,F,0,Centro,2433,0.004938176386058633,0.0,Low (1001-10000)
2024,Marche,M,0,Centro,4504,0.009141613827705748,0.0,Low (1001-10000)
2024,Molise,F,0,Sud,268,0.000543950378735599,0.0,Very low (1-1000)
2024,Molise,M,0,Sud,522,0.00105948543917904,0.0,Very low (1-1000)
2024,Piemonte,F,0,NordOvest,7611,0.015447784822972568,0.0,Low (1001-10000)
2024,Piemonte,M,0,NordOvest,11606,0.02355629886419913,0.0,Moderate (10001-50000)
2024,Puglia,F,0,Sud,4135,0.00839266722414815,0.0,Low (1001-10000)
2024,Puglia,M,0,Sud,7684,0.015595950411210249,0.0,Low (1001-10000)
