Year,DescrRegione,Occupati,MacroRegione,Settore,Count,Percentage,PercentageOccupati,SummarisedCount
2022,Marche,639261,Centro,Secondario,11,0.2894736842105264,1.7207369134046002e-05,Low (11-50)
2022,Marche,639261,Centro,Terziario,27,0.7105263157894737,4.223626969266e-05,Low (11-50)
2022,Molise,103093,Sud,Secondario,2,0.2857142857142857,1.9399959260085002e-05,Very low (1-10)
2022,Molise,103093,Sud,Terziario,5,0.7142857142857143,4.8499898150213e-05,Very low (1-10)
2022,Piemonte,1785318,NordOvest,Primario,1,0.010101010101010102,5.601243027852741e-07,Very low (1-10)
2022,Piemonte,1785318,NordOvest,Secondario,47,0.47474747474747475,2.6325842230907e-05,Low (11-50)
2022,Piemonte,1785318,NordOvest,Terziario,51,0.5151515151515152,2.8566339442048e-05,Moderate (51-100)
2022,Puglia,1266627,Sud,Primario,1,0.01282051282051282,7.894984079764603e-07,Very low (1-10)
2022,Puglia,1266627,Sud,Secondario,20,0.2564102564102564,1.5789968159528998e-05,Low (11-50)
2022,Puglia,1266627,Sud,Terziario,57,0.7307692307692306,4.5001409254658e-05,Moderate (51-100)
2022,Sardegna,566151,0,0,0,0.0,0.0,No deaths
2022,Sicilia,1337017,Sud,Primario,1,0.013888888888888888,7.479336463186332e-07,Very low (1-10)
2022,Sicilia,1337017,Sud,Secondario,20,0.2777777777777778,1.4958672926371999e-05,Low (11-50)
2022,Sicilia,1337017,Sud,Terziario,51,0.7083333333333335,3.8144615962249996e-05,Moderate (51-100)
2022,Toscana,1617713,Centro,Primario,1,0.01162790697674419,6.1815661987015e-07,Very low (1-10)
2022,Toscana,1617713,Centro,Secondario,18,0.20930232558139536,1.1126819157662e-05,Low (11-50)
2022,Toscana,1617713,Centro,Terziario,67,0.7790697674418605,4.14164935313e-05,Moderate (51-100)
2022,Total,23099391,Total,Primario,13,0.01069078947368421,5.62785399840195e-07,Low (11-50)
2022,Total,23099391,Total,Secondario,408,0.3355263157894737,1.7662803318061002e-05,High (101-500)
2022,Total,23099391,Total,Terziario,795,0.6537828947368421,3.4416491759458e-05,Very High (501-1000)
2022,Trentino Alto Adige,506320,NordEst,Primario,2,0.05263157894736842,3.9500711012790006e-06,Very low (1-10)
2022,Trentino Alto Adige,506320,NordEst,Secondario,9,0.23684210526315788,1.7775319955759002e-05,Very low (1-10)
2022,Trentino Alto Adige,506320,NordEst,Terziario,27,0.7105263157894737,5.3325959867277006e-05,Low (11-50)
2022,Umbria,352298,Centro,Secondario,11,0.4782608695652174,3.1223566412525e-05,Low (11-50)
2022,Umbria,352298,Centro,Terziario,12,0.5217391304347826,3.4062072450028e-05,Low (11-50)
2022,Valle D'Aosta,55164,NordOvest,Secondario,5,0.7142857142857143,9.063882242041899e-05,Very low (1-10)
2022,Valle D'Aosta,55164,NordOvest,Terziario,2,0.2857142857142857,3.6255528968167e-05,Very low (1-10)
2022,Veneto,2145361,NordEst,Primario,3,0.023255813953488372,1.3983660558749999e-06,Very low (1-10)
2022,Veneto,2145361,NordEst,Secondario,57,0.4418604651162791,2.6568955061642e-05,Moderate (51-100)
2022,Veneto,2145361,NordEst,Terziario,69,0.5348837209302325,3.2162419285145e-05,Moderate (51-100)
2023,Abruzzo,502116,Sud,Secondario,2,0.18181818181818182,3.983143337396e-06,Very low (1-10)
2023,Abruzzo,502116,Sud,Terziario,9,0.8181818181818182,1.7924145018282e-05,Very low (1-10)
2023,Basilicata,194175,Sud,Terziario,1,1.0,5.149993562508e-06,Very low (1-10)
2023,Calabria,539183,Sud,Secondario,1,0.25,1.854657880534e-06,Very low (1-10)
2023,Calabria,539183,Sud,Terziario,3,0.75,5.563973641602e-06,Very low (1-10)
2023,Campania,1683953,Sud,Primario,1,0.034482758620689655,5.938408019701263e-07,Very low (1-10)
2023,Campania,1683953,Sud,Secondario,4,0.1379310344827586,2.37536320788e-06,Very low (1-10)
2023,Campania,1683953,Sud,Terziario,24,0.8275862068965517,1.4252179247282998e-05,Low (11-50)
2023,Emilia Romagna,2023150,NordEst,Secondario,7,0.2916666666666667,3.459951066406e-06,Very low (1-10)
2023,Emilia Romagna,2023150,NordEst,Terziario,17,0.7083333333333335,8.402738304129e-06,Low (11-50)
2023,Friuli Venezia Giulia,519916,NordEst,Secondario,2,0.2,3.8467752483089995e-06,Very low (1-10)
2023,Friuli Venezia Giulia,519916,NordEst,Terziario,8,0.8,1.5387100993237e-05,Very low (1-10)
