Year,DescrRegione,Occupati,MacroRegione,TotalDataAccadimento,TotalDataMorte,MorteOgniMilleIncidenti,PercentageMorteAccadimento,Morti per occupati,Incidenti su morti
2023,Valle D'Aosta,56813,NordOvest,578,1,1.7301038062283738,0.17301038062283738,0.0017601605266400295,1.0173727843979372
2023,Veneto,2225751,NordEst,29549,34,1.150631155030627,0.11506311550306271,0.0015275742884087215,1.3275968425938032
2018,Total,22958728,Centro,123343,232,1.8809336565512433,0.18809336565512433,0.0010105089445721907,0.5372379515102057
2018,Total,22958728,NordEst,204940,292,1.424807260661657,0.1424807260661657,0.001271847464720171,0.8926452719854514
2018,Total,22958728,NordOvest,190179,340,1.7877893984088675,0.17877893984088675,0.0014809182808385552,0.8283516403870459
2018,Total,22958728,Sud,113240,377,3.3292122924761567,0.3329212292476157,0.0016420770349298097,0.49323290035928824
2019,Total,23109405,Centro,124570,241,1.9346552139359396,0.19346552139359396,0.0010428654480718997,0.5390446011050479
2019,Total,23109405,NordEst,204304,277,1.355822695590884,0.13558226955908842,0.0011986461789042168,0.8840729564434913
2019,Total,23109405,NordOvest,190124,318,1.6725926237613349,0.16725926237613348,0.0013760631223521333,0.8227126574656509
2019,Total,23109405,Sud,112149,367,3.2724322107196673,0.32724322107196674,0.0015880980059850092,0.48529592172537545
2020,Total,22385258,Centro,102492,292,2.849002849002849,0.2849002849002849,0.0013044299065036462,0.4578548971827799
2020,Total,22385258,NordEst,177548,292,1.6446256786897064,0.16446256786897065,0.0013044299065036462,0.7931469898627034
2020,Total,22385258,NordOvest,186694,546,2.9245717591352696,0.29245717591352693,0.0024391052361335303,0.8340042361807937
2020,Total,22385258,Sud,94203,490,5.201532859887689,0.520153285988769,0.0021889405965300913,0.4208260632957637
2021,Total,22553956,Centro,106831,285,2.6677649745860283,0.2667764974586028,0.001263636410392926,0.47366856617083053
2021,Total,22553956,NordEst,183124,329,1.7965968414844586,0.17965968414844585,0.0014587241369097288,0.8119373825150674
2021,Total,22553956,NordOvest,168233,373,2.2171631011751556,0.22171631011751558,0.0016538118634265315,0.7459134885250286
2021,Total,22553956,Sud,94775,485,5.117383276180427,0.5117383276180427,0.00215039880365112,0.42021452910522655
2022,Total,23099391,Centro,137175,270,1.9682886823400767,0.19682886823400766,0.0011688619842834817,0.5938468247929134
2022,Total,23099391,NordEst,206535,284,1.3750696007940544,0.13750696007940544,0.0012294696427278104,0.8941144811999588
2022,Total,23099391,NordOvest,216922,335,1.5443339080406782,0.15443339080406782,0.0014502546842035792,0.9390810346471904
2022,Total,23099391,Sud,128562,338,2.629081688212691,0.2629081688212691,0.001463242039584507,0.5565601274942703
2023,Total,23579947,Centro,47519,80,1.683537111471201,0.16835371114712008,0.0003392713308473509,0.20152292963169083
2023,Total,23579947,NordEst,76934,82,1.065848649491772,0.10658486494917721,0.0003477531141185347,0.3262687570926262
2023,Total,23579947,NordOvest,74659,120,1.607307893221179,0.1607307893221179,0.0005089069962710263,0.31662072862165463
2023,Total,23579947,Sud,42041,100,2.3786303846245334,0.23786303846245332,0.0004240891635591887,0.17829132525191851
