Year,DescrRegione,AgeGroup,Occupati,MacroRegione,Count,Percentage,PercentageOccupati,SummarisedCount
2020,Abruzzo,15-64,462095,Sud,10405,0.006250747176049997,0.022517014899533647,Moderate (10001-50000)
2020,Abruzzo,65+,13266,Sud,397,0.00023849559143602502,0.029926126941052317,Very low (1-1000)
2020,Basilicata,0-14,0,Sud,127,7.6294559477015e-05,0.0,Very low (1-1000)
2020,Basilicata,15+,183695,Sud,3818,0.0022936427408129633,0.020784452489180434,Low (1001-10000)
2020,Basilicata,15-64,177983,Sud,3697,0.002220952648712814,0.020771646730305703,Low (1001-10000)
2020,Basilicata,65+,5712,Sud,121,7.2690092100148e-05,0.021183473389355743,Very low (1-1000)
2020,Calabria,0-14,0,Sud,332,0.00019944719485330098,0.0,Very low (1-1000)
2020,Calabria,15+,513834,Sud,6954,0.004177577689788724,0.013533553637945329,Low (1001-10000)
2020,Calabria,15-64,496759,Sud,6740,0.004049018353347138,0.013567947435275457,Low (1001-10000)
2020,Calabria,65+,17075,Sud,214,0.000128559336441585,0.01253294289897511,Very low (1-1000)
2020,Campania,0-14,0,Sud,501,0.000300973025968385,0.0,Very low (1-1000)
2020,Campania,15+,1569819,Sud,21885,0.013147294757121977,0.013941097667947705,Moderate (10001-50000)
2020,Campania,15-64,1521514,Sud,21195,0.012732781008782284,0.013930203731283446,Moderate (10001-50000)
2020,Campania,65+,48305,Sud,690,0.000414513748339692,0.014284235586378223,Very low (1-1000)
2020,Emilia Romagna,0-14,0,NordEst,2140,0.001285593364415857,0.0,Low (1001-10000)
2020,Emilia Romagna,15+,1966238,NordEst,68371,0.04107350650396101,0.03477249447930515,High (50001-100000)
2020,Emilia Romagna,15-64,1900744,NordEst,66699,0.040069061594940766,0.035090995946850286,High (50001-100000)
2020,Emilia Romagna,65+,65494,NordEst,1672,0.001004444909020239,0.025529056096741685,Low (1001-10000)
2020,Friuli Venezia Giulia,0-14,0,NordEst,652,0.000391685454952868,0.0,Very low (1-1000)
2020,Friuli Venezia Giulia,15+,506216,NordEst,15053,0.009043007903996212,0.02973631809346208,Moderate (10001-50000)
2020,Friuli Venezia Giulia,15-64,491290,NordEst,14799,0.008890418785042181,0.03012273809766126,Moderate (10001-50000)
2020,Friuli Venezia Giulia,65+,14926,NordEst,254,0.00015258911895403102,0.017017285274018492,Very low (1-1000)
2020,Lazio,0-14,0,Centro,1219,0.000732307622066789,0.0,Low (1001-10000)
2020,Lazio,15+,2258785,Centro,35878,0.021553513424538373,0.01588376051726924,Moderate (10001-50000)
2020,Lazio,15-64,2192411,Centro,35075,0.02107111554060102,0.015998368918966378,Moderate (10001-50000)
2020,Lazio,65+,66374,Centro,803,0.00048239788393735096,0.012098110705999336,Very low (1-1000)
2020,Liguria,0-14,0,NordOvest,532,0.00031959610741553,0.0,Very low (1-1000)
2020,Liguria,15+,579517,NordOvest,18748,0.011262759063583403,0.03235107857060276,Moderate (10001-50000)
2020,Liguria,15-64,559209,NordOvest,18397,0.011051897722036692,0.03289825449876522,Moderate (10001-50000)
2020,Liguria,65+,20308,NordOvest,351,0.000210861341546713,0.017283829032893442,Very low (1-1000)
2020,Lombardia,0-14,0,NordOvest,4173,0.0025069070606109213,0.0,Low (1001-10000)
2020,Lombardia,15+,4315137,NordOvest,110882,0.06661175861362573,0.02569605553659131,Very High (100001-200000)
2020,Lombardia,15-64,4199979,NordOvest,109328,0.06567820156301721,0.026030606343507907,Very High (100001-200000)
2020,Lombardia,65+,115158,NordOvest,1554,0.000933557050608524,0.013494503204293231,Low (1001-10000)
2020,Marche,0-14,0,Centro,628,0.000377267585445401,0.0,Very low (1-1000)
2020,Marche,15+,611817,Centro,15383,0.009241253609723893,0.0251431392066582,Moderate (10001-50000)
2020,Marche,15-64,595349,Centro,14739,0.008854374111273513,0.024756907293033162,Moderate (10001-50000)
2020,Marche,65+,16468,Centro,644,0.000386879498450379,0.03910614525139665,Very low (1-1000)
2020,Molise,0-14,0,Sud,72,4.3253608522402e-05,0.0,Very low (1-1000)
2020,Molise,15+,103979,Sud,1468,0.000881893018206765,0.014118235412919915,Low (1001-10000)
2020,Molise,15-64,100032,Sud,1422,0.000854258768317452,0.014215451055662189,Low (1001-10000)
2020,Molise,65+,3947,Sud,46,2.7634249889312e-05,0.011654421079300734,Very low (1-1000)
2020,Piemonte,0-14,0,NordOvest,1633,0.000981015871070605,0.0,Low (1001-10000)
2020,Piemonte,15+,1748168,NordOvest,49025,0.029451502191816536,0.028043643402693563,Moderate (10001-50000)
2020,Piemonte,15-64,1697705,NordOvest,48048,0.028864574753950042,0.028301736756385826,Moderate (10001-50000)
2020,Piemonte,65+,50463,NordOvest,977,0.000586927437866491,0.01936071973525157,Very low (1-1000)
2020,Puglia,0-14,0,Sud,832,0.000499819476258875,0.0,Very low (1-1000)
2020,Puglia,15+,1188112,Sud,24407,0.014662372544531692,0.020542676111343038,Moderate (10001-50000)
